Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,French,English
0,0,0,histoire,history
1,1,1,seulement,only
2,2,2,police,police
3,3,3,pensais,thought
4,4,4,aide,help
5,5,5,demande,request
6,6,6,genre,kind
7,7,7,mois,month
8,8,8,frère,brother
9,9,9,laisser,let
10,10,10,car,because
11,11,11,mettre,to put
12,12,12,aucun,no
15,16,16,parlé,speak
16,17,18,devrait,should
17,18,19,bébé,baby
18,19,20,longtemps,long time
19,21,22,vont,will
20,22,23,pendant,while
21,23,24,revoir,meet again
22,24,25,aucune,any
23,25,26,place,square
24,26,27,parle,speak
25,27,28,compris,understood
26,28,29,étaient,were
28,30,31,voici,here is
29,31,32,pourrais,could
30,32,33,affaire,case
31,33,34,donner,give
34,36,37,donné,given
35,37,38,train,train
36,38,39,corps,body
37,39,40,endroit,place
38,40,41,yeux,eyes
39,41,42,façon,way
40,42,43,écoute,listen
41,43,44,dont,whose
42,44,45,trouve,find
43,45,46,premier,first
44,46,47,perdu,lost
45,47,48,main,hand
46,48,49,première,first
47,49,51,pouvoir,power
48,50,52,vieux,old
50,52,55,matin,morning
51,53,56,enfant,child
52,54,58,venu,came
53,55,59,suite,after
54,56,61,devant,in front of
57,59,64,demandé,request
58,60,65,chambre,bedroom
59,61,66,mis,placed
60,62,67,belle,beautiful
62,64,69,aimerais,would like to
63,65,70,aujourd'hui,today
64,66,71,cause,cause
65,67,72,enfin,finally
66,68,73,espère,hope
67,69,74,eau,water
69,71,76,parti,left
71,73,78,boulot,job
72,74,79,arrêter,Stop
73,75,80,dirait,would say
75,77,82,compte,account
76,78,83,donne,given
77,79,84,loin,far
78,80,85,fin,end
79,81,86,croire,believe
80,82,87,chérie,sweetheart
81,83,88,gros,large
82,84,89,plutôt,rather
83,85,90,filles,girls
84,86,91,jouer,to play
85,87,92,bureau,office
